id,id_microbe,id_disease,neg_relations,pos_relations,strength_raw,strength_IF
405,19,23422,0,2,2,1.475
406,19,19015,6,0,-6,-5.167
407,19,20951,0,1,1,0.604
408,19,12648,0,1,1,0.37
409,19,1698,16,3,-13,-15.689
410,19,22177,3,1,-2,-1.319
411,19,12931,2,1,-1,1.924
412,19,2650,0,5,5,6.605
413,19,1111,0,2,2,1.598
414,19,2525,2,0,-2,-3.901
415,19,3991,9,0,-9,-6.882
416,19,2587,0,9,9,7.203
417,19,8282,2,0,-2,-1.304
418,19,13204,1,1,0,0.0
419,19,18316,4,0,-4,-5.183
420,19,1588,5,2,-3,-5.171
421,19,5022,6,1,-5,-4.031
422,19,1411,1,4,3,2.64
423,19,14618,0,4,4,2.711
424,19,321,9,5,-4,0.228
425,19,10792,0,3,3,1.864
426,19,11462,7,1,-6,-6.417
427,19,9724,4,0,-4,-6.013
428,19,8294,1,0,-1,-0.865
429,19,18734,1,0,-1,-0.865
430,19,6538,3,0,-3,-2.302
431,19,436,6,0,-6,-4.565
432,19,1754,1,0,-1,-0.862
433,19,660,5,4,-1,-1.219
434,19,14266,2,0,-2,-1.273
435,19,3544,2,1,-1,-0.577
436,19,2854,0,6,6,7.243
437,19,2185,1,0,-1,-0.692
438,19,2121,0,5,5,3.02
439,19,3290,0,2,2,0.967
440,19,3315,0,1,1,0.554
441,19,17503,0,4,4,6.368
442,19,17473,1,0,-1,-0.944
443,19,6301,1,2,1,0.859
444,19,2318,1,1,0,0.193
445,19,2710,5,3,-2,0.78
446,19,2472,0,1,1,0.658
447,19,9098,0,1,1,1.183
448,19,7867,2,1,-1,-0.761
449,19,5287,1,0,-1,-0.782
450,19,629,3,2,-1,-0.455
451,19,425,9,1,-8,-10.312
452,19,2937,1,2,1,0.34
453,19,6105,2,0,-2,-1.319
454,19,1117,21,16,-5,-0.784
455,19,1755,5,1,-4,-4.291
456,19,15363,1,3,2,-1.697
457,19,534,9,5,-4,-0.798
458,19,1374,1,0,-1,-0.674
459,19,4967,1,3,2,7.171
460,19,1261,8,7,-1,-2.782
461,19,10502,0,1,1,0.982
462,19,4167,23,5,-18,-17.22
